City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,fort bragg,35.139,-79.006,35.25,61,20,7.72,US,1722627426
240,gondia,21.45,80.2,23.47,96,100,5.93,IN,1722627428
241,burang,30.25,81.1667,10.34,83,98,1.69,CN,1722627429
242,nakhon si thammarat,8.25,100.0,25.74,87,100,1.09,TH,1722627430
243,imst,47.2684,10.6698,11.37,73,69,0.65,AT,1722627431
244,estes park,40.3772,-105.5217,31.06,23,100,1.34,US,1722627432
245,riberalta,-10.9833,-66.1,35.11,43,20,4.12,BO,1722627365
246,antofagasta,-23.65,-70.4,16.6,75,1,0.69,CL,1722627363
247,lebu,-37.6167,-73.65,11.21,88,72,5.94,CL,1722627435
248,mocksville,35.894,-80.5614,34.77,59,16,0.89,US,1722627436
249,afaahiti,-17.75,-149.2833,24.93,67,51,4.81,PF,1722627357
250,new norfolk,-42.7826,147.0587,9.4,93,100,0.71,AU,1722627439
251,male,4.1748,73.5089,28.97,84,75,2.57,MV,1722627440
252,harstad,68.799,16.5293,15.13,98,94,3.13,NO,1722627084
253,necochea,-38.5473,-58.7368,25.21,52,64,5.45,AR,1722627386
254,wattegama,6.7989,81.4808,24.13,84,100,3.08,LK,1722627443
255,yeed,4.55,43.0333,28.85,41,100,6.35,SO,1722627444
256,edson,53.5835,-116.4356,22.08,35,0,2.06,CA,1722627445
257,grand baie,-20.0182,57.5802,20.26,63,9,3.11,MU,1722627446
258,box elder,41.5005,-112.8764,37.37,34,11,1.01,US,1722627447
259,santa ana de yacuma,-13.75,-65.4333,34.97,36,20,7.72,BO,1722627450
260,pearsall,28.8922,-99.095,39.1,33,76,3.6,US,1722627410
261,hailey,43.5196,-114.3153,36.63,10,36,3.9,US,1722627193
262,kulhudhuffushi,6.6221,73.07,28.29,78,100,5.43,MV,1722627453
263,usinsk,65.9939,57.5281,16.22,89,33,6.2,RU,1722627456
264,kingston,17.997,-76.7936,30.09,79,40,4.12,JM,1722626925
265,abalak,58.1286,68.5944,15.38,95,3,1.6,RU,1722627460
266,tongliao,43.6125,122.2653,20.81,92,45,2.46,CN,1722627461
267,bandarbeyla,9.4942,50.8122,25.65,77,67,13.35,SO,1722627462
268,nowy tomysl,52.3195,16.1284,18.38,91,100,2.3,PL,1722627463
269,orenburg,51.7727,55.0988,17.01,56,97,2.55,RU,1722627464
270,bardai,11.65,7.2333,22.87,88,96,3.16,NG,1722627465
271,georgetown,5.4112,100.3354,28.96,74,20,3.6,MY,1722627466
272,san julian,21.0167,-102.1667,24.38,41,69,3.96,MX,1722627467
273,ust'-kulom,61.6864,53.6902,14.39,96,99,2.1,RU,1722627468
274,crane,31.3974,-102.3501,36.56,24,0,6.03,US,1722627470
275,midvagur,62.0511,-7.1939,12.46,100,100,6.69,FO,1722627471
276,happy valley-goose bay,53.3168,-60.3315,16.17,72,40,2.57,CA,1722627473
277,kaynarca,41.0308,30.3075,22.55,85,0,1.81,TR,1722627474
278,eyl,7.9803,49.8164,26.03,71,36,11.76,SO,1722627475
279,carnarvon,-24.8667,113.6333,17.04,69,0,7.72,AU,1722626893
280,chignahuapan,19.8333,-98.0333,16.22,86,87,3.84,MX,1722627398
281,dzuunharaa,48.8523,106.4579,14.74,97,100,1.64,MN,1722627479
